,id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre
26,497698,en,Black Widow,779.349,2021-07-07,7.7,5560,"['Action', 'Adventure', 'Science Fiction']"
27,675445,en,PAW Patrol: The Movie,793.339,2021-08-09,7.7,617,"['Animation', 'Family', 'Adventure', 'Comedy']"
28,871875,en,Escape The Undertaker,719.671,2021-10-05,5.1,16,"['Horror', 'Mystery', 'Family']"
29,631843,en,Old,704.539,2021-07-21,6.7,1326,"['Horror', 'Mystery', 'Thriller']"
30,800497,en,Werewolves Within,1027.913,2021-06-25,6.2,142,"['Comedy', 'Horror']"
31,774021,en,Demonic,649.583,2021-07-29,5.1,64,"['Horror', 'Thriller']"
32,859860,en,Catch the Bullet,749.644,2021-09-10,5.6,57,"['Western', 'Action']"
33,796428,en,Madres,626.69,2021-10-08,5.5,17,['Horror']
34,826914,en,Muppets Haunted Mansion,652.862,2021-10-08,7.0,39,"['Comedy', 'Family', 'TV Movie']"
35,512025,en,There's Someone Inside Your House,717.935,2021-09-24,5.8,195,"['Horror', 'Thriller', 'Mystery']"
36,508943,en,Luca,721.286,2021-06-17,8.0,4851,"['Animation', 'Comedy', 'Family', 'Fantasy']"
37,379686,en,Space Jam: A New Legacy,701.031,2021-07-08,7.3,2457,"['Animation', 'Comedy', 'Family', 'Science Fiction']"
38,595743,en,SAS: Red Notice,637.014,2021-08-11,6.0,237,"['Drama', 'Action', 'Thriller']"
39,619297,en,Sweet Girl,628.438,2021-08-18,6.9,666,['Action']
40,744275,en,After We Fell,891.224,2021-09-01,8.0,362,"['Romance', 'Drama']"
41,597891,en,Kate,624.64,2021-09-10,6.8,670,"['Action', 'Thriller']"
42,825997,en,Rogue Hostage,523.66,2021-06-11,6.6,91,"['Action', 'Thriller']"
43,857702,en,LEGO Star Wars Terrifying Tales,566.48,2021-10-01,7.0,38,"['Family', 'Animation', 'Science Fiction', 'Comedy', 'Horror', 'Adventure', 'Action']"
44,588921,en,Ainbo: Spirit of the Amazon,614.935,2021-02-09,7.2,197,"['Adventure', 'Animation', 'Family', 'Fantasy']"
45,460465,en,Mortal Kombat,612.416,2021-04-07,7.3,3910,"['Action', 'Fantasy', 'Adventure']"
46,848278,en,Jurassic Hunt,520.799,2021-08-26,5.0,148,"['Action', 'Science Fiction', 'Thriller']"
47,637649,en,Wrath of Man,557.015,2021-04-22,7.8,2447,"['Action', 'Crime', 'Thriller']"
48,588228,en,The Tomorrow War,525.538,2021-07-02,8.1,4372,"['Action', 'Science Fiction', 'Adventure']"
49,706972,en,Narco Sub,528.109,2021-01-22,7.2,58,"['Action', 'Drama', 'Crime']"
50,774456,es,García y García,517.943,2021-08-27,3.2,3,['Comedy']
51,638045,en,The Toll,730.316,2021-03-26,6.3,49,"['Thriller', 'Horror']"
52,597316,en,My Little Pony: A New Generation,519.264,2021-09-23,8.1,107,"['Animation', 'Family', 'Fantasy', 'Comedy', 'Music', 'Adventure']"
53,337404,en,Cruella,562.628,2021-05-26,8.3,5706,"['Comedy', 'Crime']"
54,581726,en,Infinite,581.446,2021-09-09,7.0,402,"['Science Fiction', 'Action', 'Thriller']"
55,767304,en,Redemption Day,519.937,2021-01-08,6.7,148,['Action']
56,482373,en,Don't Breathe 2,487.825,2021-08-12,7.7,995,"['Thriller', 'Horror']"
57,370172,en,No Time to Die,504.287,2021-09-29,7.3,833,"['Adventure', 'Action', 'Thriller']"
58,619778,en,Malignant,484.55,2021-09-01,7.1,839,"['Horror', 'Mystery', 'Thriller']"
59,525660,cn,真·三国无双,484.175,2021-04-29,6.7,70,"['Action', 'Adventure', 'Fantasy']"
60,453354,fr,Ava,470.41,2017-06-21,6.0,117,['Drama']
61,791373,en,Zack Snyder's Justice League,459.64,2021-03-18,8.4,6679,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
62,861057,en,Swim,427.695,2021-08-13,6.7,9,"['Horror', 'Action']"
63,641501,fr,Comment je suis devenu super-héros,440.766,2020-11-19,6.1,286,"['Science Fiction', 'Adventure', 'Mystery', 'Action', 'Thriller', 'Fantasy', 'Comedy']"
64,399566,en,Godzilla vs. Kong,457.11,2021-03-24,7.9,7092,"['Action', 'Adventure', 'Fantasy']"
65,602223,en,The Forever Purge,426.716,2021-06-30,7.4,1307,"['Horror', 'Action', 'Thriller']"
66,672322,ja,るろうに剣心 最終章 The Beginning,437.77,2021-06-04,7.8,191,"['Action', 'Adventure', 'Drama']"
67,843906,en,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,486.71,2021-09-14,8.3,194,"['Animation', 'Comedy', 'Mystery', 'Family', 'Fantasy']"
68,740925,en,No One Gets Out Alive,411.287,2021-09-29,6.1,184,"['Horror', 'Thriller', 'Mystery']"
69,763532,en,Long Story Short,386.042,2021-02-11,7.3,41,"['Romance', 'Comedy', 'Fantasy']"
70,19995,en,Avatar,402.357,2009-12-10,7.5,24158,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
71,719164,en,Women,376.551,2021-04-08,5.9,12,['Thriller']
72,423108,en,The Conjuring: The Devil Made Me Do It,396.347,2021-05-25,7.8,3762,"['Horror', 'Mystery', 'Thriller']"
73,13811,en,Knowing,357.522,2009-03-19,6.1,4021,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']"
74,726684,fr,"Miraculous World: Shanghai, la légende de Ladydragon",368.346,2021-04-04,7.9,606,"['Animation', 'Comedy', 'Family', 'Adventure']"
75,685274,ja,機動戦士ガンダム 閃光のハサウェイ,420.517,2021-06-11,8.1,56,"['Animation', 'Action', 'Drama', 'Science Fiction']"
76,632357,en,The Unholy,364.888,2021-03-31,6.9,1381,['Horror']
77,880009,es,Catalina la Catrina: especial Día de Muertos,479.843,2021-10-01,3.5,2,"['Family', 'Animation']"
78,573164,es,Un rescate de huevitos,384.16,2021-08-12,8.1,247,"['Animation', 'Comedy']"
79,522241,en,The Courier,337.863,2021-03-18,7.1,428,"['Thriller', 'History', 'Drama']"
80,800823,es,A todo tren: destino Asturias,338.088,2021-07-08,4.7,25,"['Comedy', 'Family']"
81,813258,en,Monster Pets: A Hotel Transylvania Short,353.977,2021-04-02,7.5,253,"['Animation', 'Comedy', 'Fantasy']"
82,678580,es,El mesero,372.552,2021-07-15,8.3,263,['Comedy']
83,522444,en,Black Water: Abyss,319.638,2020-07-09,5.1,275,"['Horror', 'Thriller', 'Adventure', 'Mystery']"
84,503736,en,Army of the Dead,347.603,2021-05-14,6.4,2411,"['Action', 'Adventure', 'Horror', 'Crime']"
85,739990,en,Nightbooks,347.873,2021-09-15,6.6,155,"['Fantasy', 'Family', 'Horror']"
86,520763,en,A Quiet Place Part II,325.417,2021-05-21,7.7,3164,"['Science Fiction', 'Thriller', 'Horror']"
87,634528,en,The Marksman,304.037,2021-01-15,7.2,897,"['Action', 'Thriller', 'Crime']"
88,527774,en,Raya and the Last Dragon,336.311,2021-03-03,8.1,4437,"['Family', 'Fantasy', 'Animation', 'Action', 'Adventure']"
89,581644,en,The Misfits,319.363,2021-06-10,5.7,156,"['Action', 'Comedy', 'Crime']"
90,1930,en,The Amazing Spider-Man,325.194,2012-06-23,6.6,13421,"['Action', 'Adventure', 'Fantasy']"
91,729720,fr,Le Dernier Mercenaire,328.412,2021-07-30,6.8,420,"['Action', 'Comedy']"
92,846214,en,"The Simpsons: The Good, the Bart, and the Loki",341.861,2021-07-07,7.7,419,"['Animation', 'Comedy', 'Family']"
93,458576,en,Monster Hunter,320.796,2020-12-03,6.9,2182,"['Action', 'Fantasy', 'Adventure']"
94,424139,en,Halloween,306.469,2018-10-18,6.5,3469,"['Horror', 'Thriller']"
95,617502,en,Jolt,322.651,2021-07-15,6.8,727,"['Action', 'Comedy']"
96,585216,en,Escape Room: Tournament of Champions,297.11,2021-07-01,7.0,618,"['Horror', 'Thriller', 'Mystery']"
97,850818,en,"Barbie: Big City, Big Dreams",310.007,2021-08-20,7.3,55,"['Animation', 'Music', 'Family']"
98,841755,en,Mortal Kombat Legends: Battle of the Realms,310.893,2021-08-30,8.1,164,"['Animation', 'Action', 'Fantasy']"
99,539885,en,Ava,322.334,2020-07-02,5.7,1757,"['Action', 'Crime', 'Drama', 'Thriller']"
100,592350,ja,僕のヒーローアカデミア THE MOVIE ヒーローズ：ライジング,311.132,2019-12-20,8.5,809,"['Animation', 'Action', 'Fantasy', 'Adventure']"
101,675319,en,Zone 414,490.402,2021-09-03,6.0,62,"['Science Fiction', 'Thriller', 'Mystery']"
102,667757,es,El prófugo,277.341,2021-07-30,5.1,9,['Thriller']
103,597433,en,Beckett,273.654,2021-08-04,6.5,370,"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller', 'Mystery']"
104,25769,en,Carriers,258.151,2009-09-04,5.8,781,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']"
105,299536,en,Avengers: Infinity War,300.729,2018-04-25,8.3,22877,"['Adventure', 'Action', 'Science Fiction']"
106,659940,da,Marco effekten,262.181,2021-05-27,6.4,9,"['Thriller', 'Crime']"
107,786705,pt,Confissões de Uma Garota Excluída,297.261,2021-09-22,6.8,88,"['Comedy', 'Drama']"
108,755812,fr,"Miraculous World : New York, les héros unis",306.509,2020-09-26,8.3,806,"['Animation', 'Family', 'Comedy', 'Adventure', 'TV Movie']"
109,529106,ru,Майор Гром: Чумной Доктор,333.363,2021-04-01,6.8,331,"['Action', 'Adventure']"
110,529203,en,The Croods: A New Age,292.549,2020-11-25,7.6,2585,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Comedy']"
111,354912,en,Coco,305.033,2017-10-27,8.2,14580,"['Family', 'Animation', 'Fantasy', 'Music', 'Comedy', 'Adventure']"
112,464052,en,Wonder Woman 1984,284.932,2020-12-16,6.7,6003,"['Action', 'Adventure', 'Fantasy']"
113,875460,es,Cato,298.492,2021-10-14,2.0,1,['Drama']
114,613504,en,After We Collided,334.022,2020-09-02,7.3,4199,"['Romance', 'Drama']"
115,565028,en,Candyman,257.062,2021-08-25,6.4,493,"['Horror', 'Thriller']"
116,20982,ja,劇場版 NARUTO -ナルト- 疾風伝,284.874,2007-08-04,7.3,377,"['Animation', 'Action', 'Fantasy']"
117,585083,en,Hotel Transylvania: Transformania,273.981,2022-01-14,0.0,0,"['Family', 'Animation', 'Fantasy', 'Comedy', 'Adventure']"
118,656940,en,Body Brokers,252.077,2021-02-19,6.6,45,"['Thriller', 'Crime']"
119,623135,ko,싱크홀,297.042,2021-08-11,6.9,15,"['Comedy', 'Drama']"
120,866408,zh,火星异变,279.012,2021-08-27,6.2,17,"['Drama', 'Science Fiction']"
121,634649,en,Spider-Man: No Way Home,273.68,2021-12-15,0.0,0,"['Science Fiction', 'Action', 'Adventure', 'Fantasy']"
122,776909,es,Fuimos canciones,243.477,2021-09-29,6.5,54,"['Comedy', 'Romance']"
123,8960,en,Hancock,272.268,2008-07-01,6.3,7623,"['Fantasy', 'Action']"
124,586047,ko,서복,259.742,2021-04-12,7.4,88,"['Science Fiction', 'Action']"
125,15092,en,Crank: High Voltage,256.268,2009-04-16,6.0,2090,"['Action', 'Thriller', 'Crime']"
126,449406,en,Vivo,254.443,2021-07-30,7.7,395,"['Animation', 'Family', 'Comedy']"
127,159211,en,The Haunting of Helena,222.345,2013-01-14,5.6,114,"['Horror', 'Thriller']"
128,22894,en,Legion,224.946,2010-01-21,5.7,1905,"['Horror', 'Action', 'Fantasy']"
129,809314,en,Trigger Point,216.576,2021-04-23,6.6,86,"['Action', 'Thriller']"
130,522478,en,Peter Rabbit 2: The Runaway,244.979,2021-03-25,7.4,405,"['Family', 'Comedy', 'Adventure', 'Animation', 'Fantasy']"
131,587807,en,Tom & Jerry,259.821,2021-02-11,7.1,1803,"['Comedy', 'Family', 'Animation']"
132,537915,en,After,294.601,2019-04-11,7.2,6631,"['Romance', 'Drama']"
133,536728,en,The Space Between,212.199,2021-04-23,5.5,6,"['Drama', 'Comedy']"
134,839100,ja,ブライト: サムライソウル,376.438,2021-10-12,6.1,15,"['Animation', 'Action', 'Fantasy']"
135,615658,en,Awake,225.486,2021-06-09,6.0,692,"['Drama', 'Science Fiction', 'Thriller']"
136,637693,en,Spirit Untamed,243.365,2021-05-20,7.8,277,"['Animation', 'Adventure', 'Family', 'Western']"
137,508442,en,Soul,236.999,2020-12-25,8.2,7066,"['Family', 'Animation', 'Music', 'Comedy', 'Fantasy']"
138,653349,en,Vacation Friends,223.641,2021-08-27,7.3,304,['Comedy']
139,567189,en,Tom Clancy's Without Remorse,231.406,2021-04-29,7.2,1607,"['Action', 'Thriller', 'War']"
140,876576,en,Go! Go! Cory Carson: Chrissy Takes the Wheel,242.521,2021-09-21,5.3,6,"['Animation', 'Family']"
141,615457,en,Nobody,213.061,2021-03-18,8.3,3524,"['Action', 'Crime', 'Thriller', 'Drama']"
142,788905,es,A un paso de mí,200.364,2021-02-25,6.9,36,"['Adventure', 'Comedy', 'Drama']"
143,347201,ja,BORUTO -NARUTO THE MOVIE-,228.998,2015-08-07,7.7,914,"['Animation', 'Action', 'Comedy']"
144,410113,fr,The Loud House Movie,225.621,2021-08-20,8.3,80,"['Animation', 'Family', 'Comedy', 'Music', 'Fantasy']"
145,675024,es,El Exorcismo de Carmen Farías,204.714,2021-07-05,6.4,70,['Horror']
146,315635,en,Spider-Man: Homecoming,232.235,2017-07-05,7.4,16959,"['Action', 'Adventure', 'Science Fiction', 'Drama']"
147,785752,en,Intrusion,195.405,2021-09-22,6.3,256,['Thriller']
148,719088,ja,イエスかノーか半分か,239.383,2020-12-11,6.4,11,"['Animation', 'Drama', 'Romance']"
149,317442,ja,The Last: Naruto the Movie,241.041,2014-12-06,7.9,1059,"['Action', 'Romance', 'Animation']"
150,24428,en,The Avengers,213.541,2012-04-25,7.7,25524,"['Science Fiction', 'Action', 'Adventure']"
151,671,en,Harry Potter and the Philosopher's Stone,228.331,2001-11-16,7.9,21173,"['Adventure', 'Fantasy']"
152,429617,en,Spider-Man: Far From Home,235.916,2019-06-28,7.5,10779,"['Action', 'Adventure', 'Science Fiction']"
153,604822,zh,急先锋,219.412,2020-09-30,6.3,370,"['Action', 'Adventure', 'Crime']"
154,767504,en,Black as Night,205.36,2021-10-01,5.5,36,"['Horror', 'Thriller']"
155,299534,en,Avengers: Endgame,202.637,2019-04-24,8.3,19295,"['Adventure', 'Science Fiction', 'Action']"
156,7182,en,Venom,194.301,2005-09-16,5.5,211,"['Horror', 'Thriller']"
157,617653,en,The Last Duel,212.915,2021-10-13,7.7,149,"['Drama', 'History', 'Action']"
158,834404,en,Teen Titans Go! See Space Jam,225.849,2021-06-20,7.0,141,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Science Fiction']"
159,347626,en,He's All That,203.777,2021-08-27,6.9,634,"['Comedy', 'Romance']"
160,481084,en,The Addams Family,202.773,2019-10-10,6.6,1568,"['Family', 'Animation', 'Comedy', 'Fantasy']"
161,385687,en,Fast & Furious 10,194.837,2023-04-06,0.0,0,"['Action', 'Crime']"
162,567748,en,The Guilty,182.932,2021-09-24,6.5,852,"['Drama', 'Crime', 'Thriller']"
163,38234,en,Undisputed III: Redemption,216.049,2010-05-22,7.5,563,"['Action', 'Thriller']"
164,400160,en,The SpongeBob Movie: Sponge on the Run,221.618,2020-08-14,7.7,2324,"['Family', 'Animation', 'Fantasy', 'Adventure', 'Comedy']"
165,809968,pl,Bartkowiak,191.948,2021-07-28,6.3,113,"['Action', 'Thriller']"
166,860425,es,Sinaliento,200.208,2021-08-11,5.9,32,"['Crime', 'Drama', 'Thriller']"
167,22832,en,Ninja Assassin,195.661,2009-09-29,6.5,1044,['Action']
168,602734,en,Spiral: From the Book of Saw,176.52,2021-05-12,6.3,872,"['Horror', 'Crime', 'Thriller', 'Mystery']"
169,820511,en,Ripper Untold,323.259,2021-06-28,5.8,17,['Horror']
170,13475,en,Star Trek,181.844,2009-05-06,7.4,8099,"['Science Fiction', 'Action', 'Adventure']"
171,590706,en,Jiu Jitsu,197.997,2020-11-20,5.1,436,"['Fantasy', 'Action', 'Science Fiction']"
172,524434,en,Eternals,292.382,2021-11-03,0.0,0,"['Science Fiction', 'Action', 'Adventure', 'Drama']"
173,102382,en,The Amazing Spider-Man 2,210.512,2014-04-16,6.4,9802,"['Action', 'Adventure', 'Fantasy']"
174,553604,en,Honest Thief,190.858,2020-09-03,6.5,1091,"['Thriller', 'Action', 'Crime', 'Drama']"
175,672,en,Harry Potter and the Chamber of Secrets,197.585,2002-11-13,7.7,17108,"['Adventure', 'Fantasy']"
176,2082,en,Halloween,191.199,2007-08-31,6.2,1626,['Horror']
177,531219,en,Roald Dahl's The Witches,208.014,2020-10-25,6.6,1909,"['Family', 'Fantasy', 'Adventure', 'Comedy', 'Horror']"
178,559,en,Spider-Man 3,185.215,2007-05-01,6.3,10396,"['Fantasy', 'Action', 'Adventure']"
179,557,en,Spider-Man,184.137,2002-05-01,7.2,14187,"['Fantasy', 'Action']"
180,591273,en,Fear Street: 1994,192.929,2021-06-28,6.8,1155,"['Horror', 'Mystery']"
181,674,en,Harry Potter and the Goblet of Fire,189.986,2005-11-16,7.8,16169,"['Adventure', 'Fantasy', 'Family']"
182,32657,en,Percy Jackson & the Olympians: The Lightning Thief,185.202,2010-02-01,6.2,5982,"['Adventure', 'Fantasy', 'Family']"
183,14869,en,G.I. Joe: The Rise of Cobra,193.404,2009-08-03,5.7,3712,"['Adventure', 'Action', 'Thriller', 'Science Fiction']"
184,505262,ja,僕のヒーローアカデミア THE MOVIE ～2人の英雄～,204.264,2018-08-03,8.0,671,"['Animation', 'Action', 'Adventure', 'Fantasy']"
185,948,en,Halloween,166.006,1978-10-24,7.6,3798,"['Horror', 'Thriller']"
186,676845,es,Juega Conmigo,161.99,2021-02-25,7.2,132,['Horror']
187,10138,en,Iron Man 2,187.335,2010-04-28,6.8,16816,"['Adventure', 'Action', 'Science Fiction']"
188,283566,ja,シン・エヴァンゲリオン劇場版:||,189.479,2021-03-08,8.6,345,"['Animation', 'Action', 'Drama', 'Science Fiction']"
189,787009,en,Stay Out of the Attic,152.729,2021-03-11,5.9,42,['Horror']
190,793002,en,Dreamcatcher,156.04,2021-03-05,6.6,70,"['Horror', 'Mystery', 'Thriller']"
191,784500,ja,劇場版 美少女戦士セーラームーンEternal 後編,187.184,2021-02-11,8.2,87,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']"
192,848932,en,粉色樱与大眠王,204.336,2021-07-06,4.5,2,['Romance']
193,550205,en,Wish Dragon,181.339,2021-01-15,8.3,644,"['Animation', 'Family', 'Comedy', 'Fantasy']"
194,607259,en,Fatherhood,179.037,2021-06-18,7.7,839,"['Drama', 'Family', 'Comedy']"
195,337401,en,Mulan,185.761,2020-09-04,7.0,5201,"['Adventure', 'Fantasy']"
196,673,en,Harry Potter and the Prisoner of Azkaban,185.555,2004-05-31,8.0,16824,"['Adventure', 'Fantasy']"
197,770742,it,"Mio fratello, mia sorella",135.521,2021-10-08,6.8,34,['Drama']
198,24021,en,The Twilight Saga: Eclipse,198.956,2010-06-23,6.2,7112,"['Adventure', 'Fantasy', 'Drama', 'Romance']"
199,723072,en,Host,161.73,2020-12-04,6.6,398,"['Horror', 'Thriller', 'Mystery']"
200,593910,en,Cinderella,174.27,2021-09-03,6.8,818,"['Fantasy', 'Romance', 'Comedy']"
201,857910,es,Lokillo: nada es igual,149.792,2021-08-12,7.6,14,['Comedy']
202,198663,en,The Maze Runner,192.551,2014-09-10,7.2,13931,"['Action', 'Mystery', 'Science Fiction', 'Thriller']"
203,474350,en,It Chapter Two,176.182,2019-09-04,6.9,6351,"['Horror', 'Fantasy']"
204,671266,es,"Ni tuyo, Ni mía",139.289,2021-08-19,2.0,1,['Drama']
205,730840,en,Trollhunters: Rise of the Titans,171.41,2021-07-21,8.0,190,"['Animation', 'Fantasy', 'Family', 'Action', 'Adventure', 'Science Fiction']"
206,340102,en,The New Mutants,158.296,2020-08-26,6.3,2348,"['Horror', 'Science Fiction']"
207,630004,en,The Vault,267.127,2021-03-03,7.1,325,"['Crime', 'Action', 'Thriller']"
208,811367,en,22 vs. Earth,164.176,2021-04-30,7.2,209,"['Family', 'Comedy', 'Fantasy', 'Animation']"
209,4564,en,Sex and the City,170.501,2008-05-12,6.6,1686,"['Comedy', 'Drama', 'Romance']"
210,571891,ja,劇場版 ポケットモンスター ミュウツーの逆襲 EVOLUTION,165.094,2019-07-12,6.7,339,"['Animation', 'Adventure', 'Fantasy', 'Action', 'Family']"
211,400155,en,Hotel Transylvania 3: Summer Vacation,168.823,2018-06-28,6.9,3297,"['Family', 'Fantasy', 'Comedy', 'Animation']"
212,22803,en,Law Abiding Citizen,154.154,2009-10-15,7.3,3732,"['Drama', 'Crime', 'Thriller']"
213,643586,en,Willy's Wonderland,155.367,2021-02-12,6.5,374,"['Action', 'Horror', 'Comedy']"
214,847981,de,Schwarze Insel,146.829,2021-08-17,6.2,106,['Thriller']
215,24418,en,Cirque du Freak: The Vampire's Assistant,151.965,2009-10-23,5.7,831,"['Adventure', 'Fantasy', 'Action', 'Thriller']"
216,532067,ja,映画 この素晴らしい世界に祝福を！紅伝説,184.662,2019-08-30,8.5,301,"['Adventure', 'Comedy', 'Animation', 'Fantasy']"
217,804435,en,Vanquish,143.954,2021-04-16,6.0,163,"['Action', 'Crime', 'Thriller']"
218,10196,en,The Last Airbender,165.507,2010-06-30,4.7,3066,"['Action', 'Adventure', 'Fantasy']"
219,767,en,Harry Potter and the Half-Blood Prince,173.035,2009-07-07,7.7,15156,"['Adventure', 'Fantasy']"
220,560144,en,Skylines,141.178,2020-10-25,5.7,369,"['Science Fiction', 'Action']"
221,39254,en,Real Steel,168.919,2011-09-28,6.9,6268,"['Action', 'Science Fiction', 'Drama']"
222,81774,fr,Les Exploits d'un jeune Don Juan,110.596,1986-11-04,5.2,79,"['Comedy', 'Drama']"
223,3933,en,Corpse Bride,149.49,2005-09-12,7.5,6652,"['Romance', 'Fantasy', 'Animation']"
224,741074,en,Once Upon a Snowman,162.789,2020-10-23,6.9,380,"['Animation', 'Family', 'Comedy', 'Fantasy']"
225,763873,en,Under Wraps,255.892,2021-10-30,0.0,0,"['Comedy', 'Family']"
226,45682,zh,Xun zhao Cheng Long,149.504,2009-07-03,4.4,45,"['Action', 'Comedy', 'Family']"
227,272818,en,Monstruosamente Solo,141.101,2021-09-16,5.8,5,"['Comedy', 'Drama', 'Animation']"
228,580532,en,Crisis,141.468,2021-02-26,6.4,148,"['Thriller', 'Crime', 'Drama']"
229,12445,en,Harry Potter and the Deathly Hallows: Part 2,167.888,2011-07-07,8.1,16283,"['Fantasy', 'Adventure']"
230,57214,en,Project X,158.28,2012-03-01,6.8,4777,['Comedy']
231,649409,en,No Sudden Move,153.001,2021-06-24,6.5,249,"['Crime', 'Drama', 'Thriller', 'Mystery']"
232,630586,en,Wrong Turn,155.792,2021-01-26,6.0,564,"['Horror', 'Thriller']"
233,779202,pt,Terapia do Medo,136.791,2021-08-04,6.7,54,"['Mystery', 'Horror', 'Thriller']"
234,18785,en,The Hangover,145.874,2009-06-02,7.3,13754,['Comedy']
235,303857,ja,ドラゴンボールZ 復活の「F」,187.171,2015-04-18,6.8,1230,"['Action', 'Animation', 'Science Fiction']"
236,808023,en,The Virtuoso,147.408,2021-04-30,6.4,192,"['Thriller', 'Action', 'Crime']"
237,9479,en,The Nightmare Before Christmas,151.573,1993-10-09,7.8,7015,"['Fantasy', 'Animation', 'Family']"
238,14161,en,2012,134.47,2009-10-10,5.8,9943,"['Action', 'Adventure', 'Science Fiction']"
239,482321,en,Ron's Gone Wrong,172.439,2021-10-15,3.7,3,"['Animation', 'Science Fiction', 'Family', 'Comedy']"
240,775996,en,Outside the Wire,143.5,2021-01-15,6.4,1304,"['Thriller', 'Action', 'Science Fiction']"
241,805051,en,Smelliville,139.49,2021-01-01,7.6,30,"['Animation', 'Drama', 'Adventure', 'Family']"
242,27205,en,Inception,145.171,2010-07-15,8.3,30043,"['Action', 'Science Fiction', 'Adventure']"
243,44571,en,The King of Fighters,154.123,2010-08-26,4.7,88,"['Action', 'Thriller', 'Science Fiction']"
244,736074,en,"Batman: The Long Halloween, Part Two",161.526,2021-07-26,7.7,196,"['Animation', 'Mystery', 'Action', 'Crime']"
245,743439,en,PAW Patrol: Jet to the Rescue,169.174,2020-09-03,6.9,110,"['Family', 'Animation']"
246,12444,en,Harry Potter and the Deathly Hallows: Part 1,165.01,2010-10-17,7.8,15104,"['Adventure', 'Fantasy']"
247,837463,en,The Perfect Wedding,122.758,2021-06-03,2.0,1,"['Thriller', 'TV Movie']"
248,30789,en,Venom,132.657,1981-11-28,6.2,48,"['Horror', 'Thriller']"
